Wall time,Step,Value
1745109270.5705247,26499,1.0
1745109281.921341,26549,1.0
1745109285.4903922,26599,1.0
1745109289.039954,26649,1.0
1745109292.60366,26699,1.0
1745109296.143165,26749,1.0
1745109299.6999278,26799,1.0
1745109303.2346184,26849,1.0
1745109306.7642853,26899,1.0
1745109318.5479033,26949,1.0
1745109322.1105042,26999,1.0
1745109325.664031,27049,1.0
1745109329.2226667,27099,1.0
1745109332.7925446,27149,1.0
1745109336.3286755,27199,1.0
1745109339.8519094,27249,1.0
1745109343.3879004,27299,1.0
1745109358.1500802,27349,1.0
1745109361.697119,27399,1.0
1745109365.2626123,27449,1.0
1745109368.8212712,27499,1.0
1745109372.400771,27549,1.0
1745109375.9332285,27599,1.0
1745109379.4425862,27649,1.0
1745109392.1081016,27699,1.0
1745109395.6528518,27749,1.0
1745109399.2065003,27799,1.0
1745109402.7608008,27849,1.0
1745109406.3209429,27899,1.0
1745109409.88023,27949,1.0
1745109413.4186409,27999,1.0
1745109416.9431982,28049,1.0
1745109428.5243044,28099,1.0
1745109432.0872946,28149,1.0
1745109435.6280599,28199,1.0
1745109439.1884096,28249,0.99609375
1745109442.7646408,28299,0.998046875
1745109446.322222,28349,0.99609375
1745109449.8347778,28399,0.998046875
1745109453.349207,28449,1.0
1745109465.9567235,28499,0.998046875
1745109469.528439,28549,1.0
1745109473.092902,28599,1.0
1745109476.6553667,28649,1.0
1745109480.216507,28699,1.0
1745109483.7797863,28749,1.0
1745109487.2942324,28799,1.0
1745109490.8032503,28849,1.0
1745109503.1250424,28899,1.0
1745109506.6886952,28949,1.0
1745109510.2447264,28999,1.0
1745109513.8011067,29049,1.0
1745109517.3566322,29099,1.0
1745109520.8903632,29149,1.0
1745109524.414992,29199,1.0
1745109527.9389458,29249,1.0
1745109542.773435,29299,1.0
1745109546.3282015,29349,1.0
1745109549.8943717,29399,1.0
1745109553.4450378,29449,1.0
1745109557.0074215,29499,1.0
1745109560.5508435,29549,1.0
1745109564.0697904,29599,1.0
1745109575.932958,29649,1.0
1745109579.478371,29699,1.0
1745109583.0311017,29749,1.0
1745109586.5816824,29799,1.0
1745109590.1253622,29849,1.0
1745109593.6653311,29899,1.0
1745109597.1844878,29949,1.0
1745109600.6994314,29999,1.0
1745109613.2075837,30049,1.0
1745109616.7730596,30099,1.0
1745109620.3263376,30149,1.0
1745109623.888182,30199,1.0
1745109627.442064,30249,0.998046875
1745109631.0081525,30299,1.0
1745109634.5300817,30349,1.0
1745109638.0515966,30399,1.0
1745109650.3537812,30449,1.0
1745109653.918838,30499,1.0
1745109657.4628582,30549,1.0
1745109660.9918652,30599,1.0
1745109664.5196307,30649,1.0
1745109668.0948884,30699,1.0
1745109671.630239,30749,1.0
1745109675.1469457,30799,1.0
1745109687.3263698,30849,1.0
1745109690.870305,30899,1.0
1745109694.419649,30949,1.0
1745109697.9689748,30999,1.0
1745109701.5124013,31049,1.0
1745109705.0397356,31099,1.0
1745109708.5617151,31149,1.0
1745109712.0849729,31199,1.0
1745109727.047946,31249,1.0
1745109730.6021404,31299,1.0
1745109734.1644042,31349,1.0
1745109737.719479,31399,1.0
1745109741.273514,31449,1.0
1745109744.8224442,31499,1.0
1745109748.3492162,31549,1.0
1745109761.0420573,31599,1.0
1745109764.6091695,31649,1.0
1745109768.1553955,31699,1.0
1745109771.6936119,31749,1.0
1745109775.250642,31799,1.0
1745109778.807502,31849,0.998046875
1745109782.3361087,31899,1.0
1745109785.855509,31949,1.0
1745109798.0110025,31999,1.0
1745109801.5575128,32049,1.0
1745109805.1072857,32099,1.0
1745109808.6585152,32149,1.0
1745109812.1888359,32199,1.0
1745109815.7316308,32249,0.998046875
1745109819.2411945,32299,0.99609375
1745109822.7489753,32349,1.0
1745109834.7752433,32399,1.0
1745109838.3274083,32449,1.0
1745109841.8826294,32499,1.0
1745109845.440821,32549,1.0
1745109848.9817631,32599,1.0
